cluster_id,model,stage_id,rank,peak_index_y,peak_index_x,peak_value,common_peak_fraction
Abell2744,C10,S13_P4,23,15,25,0.05656142330960773,0.8095238095238095
Abell2744,C10,S13_P4,24,15,23,0.056493310765489684,0.8095238095238095
Abell2744,C10,S13_P4,25,6,45,0.05631895911141531,0.8095238095238095
Abell2744,C10,S13_P4,26,63,55,0.05580987453272106,0.8095238095238095
Abell2744,C10,S13_P4,27,63,8,0.05573825637575847,0.8095238095238095
Abell2744,C10,S13_P4,28,27,8,0.05533254437324148,0.8095238095238095
Abell2744,C10,S13_P4,29,47,59,0.05396380403607296,0.8095238095238095
Abell2744,C10,S13_P4,30,31,53,0.05391356568997662,0.8095238095238095
Abell2744,C10,S13_P4,31,19,63,0.053646247622127705,0.8095238095238095
Abell2744,C10,S13_P4,32,51,57,0.053527487203539885,0.8095238095238095
Abell2744,C10,S13_P4,33,9,57,0.05296341602298665,0.8095238095238095
Abell2744,C10,S13_P4,34,46,27,0.0525443345271807,0.8095238095238095
Abell2744,A8,S00,1,33,32,0.18047074062350163,0.9047619047619048
Abell2744,A8,S00,2,35,35,0.14619398996487515,0.9047619047619048
Abell2744,A8,S00,3,31,37,0.07239466950417535,0.9047619047619048
Abell2744,A8,S00,4,41,32,0.05598621221086895,0.9047619047619048
Abell2744,A8,S00,5,63,9,0.05532477200528399,0.9047619047619048
Abell2744,A8,S00,6,32,45,0.05407229691447396,0.9047619047619048
Abell2744,A8,S00,7,14,32,0.05383297641630219,0.9047619047619048
Abell2744,A8,S00,8,63,31,0.05201270647771791,0.9047619047619048
Abell2744,A8,S00,9,53,36,0.05136537263877405,0.9047619047619048
Abell2744,A8,S00,10,46,25,0.049784356300397306,0.9047619047619048
Abell2744,A8,S00,11,36,29,0.04902401338913709,0.9047619047619048
Abell2744,A8,S00,12,45,34,0.04846716703402007,0.9047619047619048
Abell2744,A8,S00,13,11,32,0.04828712764592852,0.9047619047619048
Abell2744,A8,S00,14,29,28,0.046062014438978116,0.9047619047619048
Abell2744,A8,S00,15,39,33,0.04568129165248939,0.9047619047619048
Abell2744,A8,S00,16,8,14,0.04404698157829125,0.9047619047619048
Abell2744,A8,S00,17,32,40,0.04382884615745246,0.9047619047619048
Abell2744,A8,S00,18,11,16,0.043769219852022326,0.9047619047619048
Abell2744,A8,S00,19,26,7,0.04274899860873603,0.9047619047619048
Abell2744,A8,S00,20,7,28,0.04207369949314031,0.9047619047619048
