cluster_id,stage_id,smoothing,norm_mode,pearson,spearman,ssim,amplitude_ratio,variance_ratio,sign_agreement,nrmse,mean_bias
MACS0416,C10-S03,S0,N1,0.1799323855292684,0.2022449972049145,0.23217078975935074,0.9999999999999999,0.9999999999999999,0.5458984375,0.2309803383002806,2.393918396847994e-16
MACS0416,C10-S03,S0,N2,0.1799323855292684,0.2022449972049145,0.20291343523667293,1.0000000000000002,0.09400111052951823,0.922119140625,0.6268078794809945,-0.27978386695027546
MACS0416,C10-S03,S1,N0,0.3374900476187274,0.2945452596534943,0.005794545569954828,44.05135349098692,79.5016187335785,0.974609375,1.240051150247692,-0.6652938596439661
MACS0416,C10-S03,S1,N1,0.3374900476187274,0.2945452596534943,0.3738172314512211,0.9999999999999998,0.9999999999999996,0.5732421875,0.19027450087665385,9.922618282587337e-16
MACS0416,C10-S03,S1,N2,0.3374900476187275,0.2945452596534943,0.22728360152337915,1.0,0.040969197569417776,0.974609375,0.828601622992174,-0.22882015137254957
MACS0416,C10-S04,S0,N0,0.14584908236393845,0.1601077896746793,0.01852233963022277,1.4158608019884977,3.883216579950327,0.48779296875,0.06923286394616783,0.011369568537291227
MACS0416,C10-S04,S0,N1,0.14584908236393843,0.1601077896746793,0.2002585970449511,1.0,1.0,0.593994140625,0.07837564800423664,-5.551115123125783e-17
MACS0416,C10-S04,S0,N2,0.14584908236393845,0.1601077896746793,0.012948689079135753,1.0000000000000002,1.9370931093726573,0.48779296875,0.07966884699320632,0.6769992440193298
MACS0416,C10-S04,S1,N0,0.11896886102478198,0.1116330752447404,0.012756278693618055,1.021064380552007,2.489098461810552,0.49853515625,0.08816278175294177,0.011353535368546334
MACS0416,C10-S04,S1,N1,0.11896886102478196,0.1116330752447404,0.16727814307053296,0.9999999999999997,0.9999999999999994,0.559326171875,0.0880715598953609,5.551115123125783e-17
MACS0416,C10-S04,S1,N2,0.11896886102478199,0.1116330752447404,0.012694357379166953,1.0,2.3874584599802366,0.49853515625,0.08907574360102782,0.7328950996964847
MACS0416,C10-S05,S0,N0,0.3162026294186564,0.32045998046820867,-0.005596819933283644,0.7671842824092336,1.140236524848314,0.469482421875,0.10392887260107336,0.01202221525966031
MACS0416,C10-S05,S0,N1,0.3162026294186563,0.32045998046820867,0.3597606029632517,1.0,1.0,0.596923828125,0.08316363275511318,-6.938893903907228e-17
MACS0416,C10-S05,S0,N2,0.3162026294186563,0.32045998046820867,-0.008621166529522271,1.0000000000000002,1.9372940967940355,0.469482421875,0.08904566510939543,0.7112957579880633
MACS0416,C10-S05,S1,N0,0.32046340467863554,0.31428013316023024,-0.007818300845300838,0.36524312156191835,0.3183660772682638,0.461669921875,0.209886131969736,0.012025838600382179
MACS0416,C10-S05,S1,N1,0.3204634046786355,0.31428013316023024,0.35772420465668553,0.9999999999999998,0.9999999999999996,0.629638671875,0.08922347845720711,6.938893903907228e-17
MACS0416,C10-S05,S1,N2,0.3204634046786355,0.31428013316023024,-0.026103178267227467,1.0,2.3865069016176483,0.461669921875,0.09808039152841029,0.7983309790815554
MACS0416,C10-S06,S0,N0,0.14584908236393845,0.1601077896746793,0.01852233963022277,1.4158608019884977,3.883216579950327,0.48779296875,0.06923286394616783,0.011369568537291227
MACS0416,C10-S06,S0,N1,0.14584908236393843,0.1601077896746793,0.2002585970449511,1.0,1.0,0.593994140625,0.07837564800423664,-5.551115123125783e-17
MACS0416,C10-S06,S0,N2,0.14584908236393845,0.1601077896746793,0.012948689079135753,1.0000000000000002,1.9370931093726573,0.48779296875,0.07966884699320632,0.6769992440193298
MACS0416,C10-S06,S1,N0,0.11896886102478198,0.1116330752447404,0.012756278693618055,1.021064380552007,2.489098461810552,0.49853515625,0.08816278175294177,0.011353535368546334
MACS0416,C10-S06,S1,N1,0.11896886102478196,0.1116330752447404,0.16727814307053296,0.9999999999999997,0.9999999999999994,0.559326171875,0.0880715598953609,5.551115123125783e-17
MACS0416,C10-S06,S1,N2,0.11896886102478199,0.1116330752447404,0.012694357379166953,1.0,2.3874584599802366,0.49853515625,0.08907574360102782,0.7328950996964847
