native_axis,native_source_z,native_source_y,native_source_x,native_dest_z,native_dest_y,native_dest_x,mapped_axis,mapped_source_z,mapped_source_y,mapped_source_x,mapped_dest_z,mapped_dest_y,mapped_dest_x,endpoint_swap,expected_sign,A_native,A_transformed_back,absolute_difference
yp,0,45,2,0,46,2,xp,0,2,45,0,2,46,False,1,-1.4526838729921858e-06,-5.297864671882831e-07,9.228974058039028e-07
yp,0,46,2,0,47,2,xp,0,2,46,0,2,47,False,1,-5.232220974234855e-07,8.152474157153709e-07,1.3384695131388565e-06
yp,0,47,2,0,48,2,xp,0,2,47,0,2,48,False,1,-3.8312720855907097e-07,-1.906851789672595e-06,1.523724581113524e-06
yp,0,48,2,0,49,2,xp,0,2,48,0,2,49,False,1,8.975771092879494e-07,1.4736244619679836e-06,5.760473526800342e-07
yp,0,49,2,0,50,2,xp,0,2,49,0,2,50,False,1,-1.1534319312096395e-06,2.8027029956564457e-06,3.956134926866085e-06
yp,0,50,2,0,51,2,xp,0,2,50,0,2,51,False,1,5.248413848935944e-07,-5.805123605760101e-07,1.1053537454696045e-06
yp,0,51,2,0,52,2,xp,0,2,51,0,2,52,False,1,2.937294245931465e-06,4.8845010838959095e-06,1.9472068379644443e-06
yp,0,52,2,0,53,2,xp,0,2,52,0,2,53,False,1,8.036734740625411e-06,3.94814139265216e-06,4.088593347973251e-06
yp,0,53,2,0,54,2,xp,0,2,53,0,2,54,False,1,1.727015615941981e-06,6.612249208076756e-06,4.885233592134775e-06
yp,0,54,2,0,55,2,xp,0,2,54,0,2,55,False,1,-5.636150473915618e-07,-4.239355836172414e-07,1.3967946377432036e-07
yp,0,55,2,0,56,2,xp,0,2,55,0,2,56,False,1,4.7209000373989567e-07,-2.315815845880735e-06,2.7879058496206303e-06
yp,0,56,2,0,57,2,xp,0,2,56,0,2,57,False,1,1.1275108300918714e-06,3.3665965468106527e-07,7.908511754108062e-07
yp,0,57,2,0,58,2,xp,0,2,57,0,2,58,False,1,-1.8619842659256328e-07,7.088210482847218e-07,8.950194748772851e-07
yp,0,58,2,0,59,2,xp,0,2,58,0,2,59,False,1,2.282197774934781e-06,2.1997220056090467e-06,8.247576932573429e-08
yp,0,59,2,0,60,2,xp,0,2,59,0,2,60,False,1,9.049688165649239e-07,6.044671083538319e-06,5.1397022669733955e-06
yp,0,60,2,0,61,2,xp,0,2,60,0,2,61,False,1,9.805345590682267e-06,5.030178568298782e-06,4.7751670223834845e-06
yp,0,61,2,0,62,2,xp,0,2,61,0,2,62,False,1,6.188911792019482e-06,6.173749373136732e-06,1.516241888275076e-08
yp,0,62,2,0,63,2,xp,0,2,62,0,2,63,False,1,5.907548089293106e-06,3.107664365503728e-06,2.7998837237893775e-06
yp,0,0,3,0,1,3,xp,0,3,0,0,3,1,False,1,-2.306700054390512e-06,-2.887851753431901e-06,5.811516990413888e-07
